19626	configure	retired the nelma exporter
19343	configure	export_gerber: plugin configuration for G85 slots
19048	configure	gtk: command line source cleanup/rename and centralize history handling
18668	configure	ddraft: sphash for constraints
18603	configure	ddraft: default buildin
18569	configure	ddraft: new plugin
18446	configure	fp_wget configuration
18380	configure	siwtched over to the new about box and export dialog
18304	configure	introducing the cam system: rename hid_helper to hid_cam + cam plugin
18166	configure	swithc over to scconfig's cquote
17960	configure	script plugin
17691	configure	action code cleanup
17436	configure	renamed hid_actions.[ch]
17426	configure	introduce new 3rd party lib dep: fungw
17304	configure	new plugin: expfeat for experimental features
17216	configure	rendering optimizations: gl inlining
17200	configure	moved clip.h out from core
16898	configure	new stroke plugin
16616	configure	fixes for large boards and 64 bit coords
16591	configure	export_xy: tempalte config
16456	configure	new plugin: import_ipcd356; rewrite export_ipcd356
16265	configure	introducing pcb api ver
16233	configure	retire hid_srv_ws: we are not going to use websockets for the web variant
16155	configure	rewrite route style anchored menu to be central
16109	configure	split off grid code from crosshair code and move gui-specific part out from core
15944	configure	new default menu file preparation: embed the new menu, do not embed the old menus
15910	configure	old data model removal
15352	configure	typo in LIBDIR_INSTALLED
15104	configure	openems mesher code
14724	configure	subc hash and compare
13953	configure	rtree switchover
13726	configure	opnegl code moved to a separate plugin for reuse
13584	configure	opengl -lGLU bugfix
13386	configure	proper detection of includes for fileno() and usleep()
13364	configure	new plugin: extedit
13269	configure	remove free_atexit
13171	configure	io_eagle: new source file for parsing dru files
13037	configure	code simplification: PCB_INLINE
12835	configure	new plugin: shape
12748	configure	libminuid cflags fix
12708	configure	new source file for the 'brave' feature
12673	configure	new lib plugin: compat helper (because of the data model rewrite)
12595	configure	new source files for padstacks
12401	configure	new source files for more generic thermal support
12108	configure	tool code splitup
11724	configure	new default pcb
11611	configure	enforce safe_fs
11529	configure	gsch2pcb-rnd uses safe_fs
11436	configure	dialogs plugin for moving dialog boxes out from core
11396	configure	hid_lesstif linking bug
11265	configure	deprecate dbus
11247	configure	HPGL importer
11189	configure	replace the openscad exporter
11159	configure	new source files in hid_gtk2_gl for new HID API
11156	configure	new source files in core for safe FS access
11151	configure	new source files in dxf_export
11051	make clean	new HID API for composite layer drawing
10867	configure	loghid resurrect
10799	configure	attributes dialog split in gtk
10679	configure	infra for new core feature: subcircuit terminal
10672	configure	switching over to libuundo
10662	configure	split undo code, preparing for a more modular undo
10356	configure	move genht out of liblihata
10285	configure	control variable name fix in 3 lib plugins
10042	configure	generalize lib_netmap and lib_padstack_hash and add lib_polyhelp
9966	configure	hyperlynx write
9919	configure	rubberband_orig got its own config subtree
9840	configure	compile and link libminuid
9600	configure	eagle bin parser
9271	configure	core cleanup (split select.c and operation.c)
9036	configure	diag configuration for integrity checks
9025	configure	new source files for eagle subformats
9019	configure	new source file in diag for integrity checks
8990	configure	new source files for subcircuits
8920	configure	build changes in puplug
8912	configure	fp_board enabled by default; new plugin for mentor cell footprints
8817	configure	fp_board: new plugin
8774	configure	layer: all-hid common library plugin for the layer menus
8748	configure	core: new pcb_bool source file
8593	configure	gtk: new layer selector
8331	configure	cquote generates C98-safe long strings
8275	configure	puplug
8153	configure	enable io_hyp by default
8054	configure	setenv() detection for parametric footprint env
7998	configure	gtk GTK3 box compatibility
7968	configure	clean up global namespace: rename VERSION, PACKAGE and REVISION
7967	configure	rename import_hyp to io_hyp
7954	configure	fp_wget configuration, edakrill integration
7720	configure	new route feature
7594	configure	gtk splitup and gl
7509	configure	rubber band upgrade, new go code
7439	configure	tEDAx chnaged from import to io
7432	configure	mentor_sch plugin upgrades
7372	configure	gtk splitup
7241	configure	gtk parametric footprint handling
7217	configure	gtk splitup
7136	configure	mentor sch import plugin
7117	configure	gtk splitup: DRC dialog
7105	configure	font selector gui dependencies
7086	configure	gtk splitup
7063	configure	gtk dialog for font selection
7055	configure	gtk splitup
7050	configure	multifont support: merge all draw stubs for simplicity
7042	configure	gtk splitup
7022	configure	multifont support: new actions
6980	configure	gtk splitup: preferences dialog
6924	configure	new import plugins
6735	configure	gtk splitup
6392	configure	draw cross section plugin (gtk and lesstif depend on it)
6365	configure	gtk splitup
6111	configure	layer vs. layer group code split
6093	distclean,configure	hid API extension for the common Cursor action
6087	configure	start splitting up hid_gtk: new plugin that hid_gtk depends on: lib_gtk_common
6056	configure	gschp2pcb-rnd build deps bug
6007	configure	switch over Makefiles to use sccbox
6004	distclean,configure	scconfig compiles sccbox thast will ease portable clean and installation rules
5982	make clean	gsch2pcb-rnd build fix
5611	configure	new feature: UI layer
5487	configure	layer cleanup: layer visibility in a new source file
5472	configure	draw_fab config subtree
5278	configure	prepare for arc UI extension: blank arc_ui.[ch] to move arc UI logics into
5256	configure	move rubberband code into a plugin
5199	configure	new export plugin: export_stat
5108	configure	cleanup: remove old pointer list and use genvt
5019	configure	unravel - remove set.[ch]
4616	configure	unravel - the big cleanup, moving code
4904	make clean,configure	unravel2 - regenerate action registration because regiestrator function name changed
4882	configure	unravel2 - the big cleanup, renaming types
4608	configure	unravel - the big cleanup, moving code and files
4588	configure	disable bison by default
4587	configure	draw_fab moved to a plugin
4450	configure	io_lihata plugin config and 3rd party lib dependency fix
4398	configure	io_kicad plugin interdeps and enable io_kicad by default
4375	configure	custom output style support in io_lihata
4321	configure	imported lihata persistent save lib in src_3rd as svn extern
4160	configure	lib_* plugins (renames, s-expression)
4063	configure	netlist.c split and cleanup
4019	configure	case sensitive string regex for query
4011	configure	sphash available for all plugins (needed by query first)
4002	configure	auto-enable the query plugin
3926	configure	advanced search in gtk, imported 10 old plugins
3841	configure	link string->int hash table (for the query language)
3822	configure	new global struct: obj_any_t that will allow a query to list objects
3745	configure	gsch2pcb-rnd footprint lib initialization bug fixed
3695	configure	bind signals to emergency save so that a copy of the in-memory PCB is saved on most crashes
3513	configure	rename detect gcc attribute "unused" and use it for static inline local functions
3510	configure	rename the debug plugin to diag plugin to avoid confusion with --debug in ./configure
3509	configure	solve non-c89-compliant function pointer <-> data pointer casts
3361	configure	cleanup: layer.c is compiled into layer.o now
3339	configure	C89: round() is detected by scconfig
3183	distclean,configure	C89 switchover
3179	configure	C89 correctness: do not depend on hardwired long long, detect it
2985	configure	Revcheck installed in Makefiles.
2984	configure	Introduction of the config-rev system.
